GPCR,STANDARD_VALUE,smiles
P41231,-4.041,C1=CC=C(C=C1)NC2=CC(=C(C3=C2C(=O)C4=CC=CC=C4C3=O)N)S(=O)(=O)[O-]
P41231,-2.69,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O
P41231,-1.643,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O
P41231,-2.544,C1=CC(=CC=C1CCCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)Br
P41231,-3.519,C1=CC(=CC=C1CONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)[N+](=O)[O-]
P41231,-3.384,C1=CC(=CC=C1NC(=O)NC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=CC(=O)NC5=O)O)O)O)O)F
P41231,-3.277,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
P41231,-3.356,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(C(F)(F)P(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O)O
P41231,-2.845,COC1=C2C(=CC=C1)SC(=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P41231,-3.358,C1CCC(CC1)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O
P41231,-1.778,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P41231,-3.725,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC=C(C=C4)Cl)S(=O)(=O)[O-])N
P41231,-2.851,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)F)O)O)O
P41231,-2.146,C1=CN(C(=S)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P41231,-3,C1=CN(C(=O)NC1=O)C2C(C(C(O2)C=CP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P41231,-3.326,CONC1=NC(=O)N(C=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=NC4=O)NOC)O)O)O)O
P41231,-3.89,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(C(P(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)(Cl)Cl)O)O)O
P41231,-1,C1=CC(=CC2=C1C=CN(C2=O)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)Cl
P41231,-2.886,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
P41231,-4.144,C1=CC=C(C=C1)CC2OC3C(OC(C3O2)N4C=NC5=C4N=CN=C5NC(=O)NC6=CC=CC=C6)COP(=O)(O)OP(=O)(O)O
