GPCR,STANDARD_VALUE,smiles
P51582,-2.491,CONC1=NC(=O)N(C=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)F)O)O)O
P51582,-2.398,C1=CN=CC=C1CCCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-3.667,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)NC(=O)N
P51582,-2.057,C1=CC(=CC(=C1)I)CCCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-2.544,C1=CN(C(=S)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-4,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=CC=C4)NC5=NC(=NC(=N5)Cl)Cl)S(=O)(=O)[O-])N
P51582,-3.1,CC1(C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-1.968,C1=CC=C(C=C1)CCCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=CC(=O)NC5=O)O)O)O)O
P51582,-2.477,C1=CC(=CN=C1)CCCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-4,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC=C(C=C4)NC5=NC(=O)NC(=O)N5)S(=O)(=O)[O-])N
P51582,-3.248,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
P51582,-3.041,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)N=[N+]=[N-]
P51582,-2.613,C#CCCCONC1=NC(=O)N(C=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-1.826,C1C2C1(C(C(C2N3C=CC(=O)NC3=O)O)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O
P51582,-3.848,C1=CC=C2C(=C1)C=CN(C2=O)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-2.903,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O
P51582,-1.732,C1=CC=C(C=C1)CCCCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-2.114,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O
P51582,-1.863,C1=CC=C(C=C1)CCONC2=NC(=O)N(C=C2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-1.792,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)F)O)O)O
P51582,-2.255,CCONC1=NC(=O)N(C=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
P51582,-4.004,C1=CC=C2C(=C1)C=CC=C2NC3=CC(=C(C4=C3C(=O)C5=CC=CC=C5C4=O)N)S(=O)(=O)[O-]
P51582,-3.776,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
P51582,-3.403,CP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=O)NC2=O)O)O
