GPCR,STANDARD_VALUE,smiles
P49238,-1.477,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3
P49238,-1.623,CCCC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC(=C3)C#N
P49238,-1.681,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-1.708,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3Cl
P49238,-2.748,CCC(CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3
P49238,-1.643,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)OCC3=CC=CC=C3
P49238,-1.851,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F
P49238,-2.556,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=N3
P49238,-2.009,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3Br
P49238,-1,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=C(C(=CC=C3)F)F
P49238,-2.041,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)S(=O)(=O)CC3=CC=CC=C3
P49238,-2.342,C1=CC=C(C=C1)CSC2=NC3=C(C(=N2)NC(CO)C4=CC=CC=C4)SC(=N3)N
P49238,-1.633,CC(C)CC(C(=O)OC)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3Cl
P49238,-1.959,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC(=C3)C#N
P49238,-0.919,CC(C)CC(C(=O)OC)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-1.996,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3OC
P49238,-1.255,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3
P49238,-0.908,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C=C(C=C3)Br)F
P49238,-0.903,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=CC=CC=C3
P49238,-1.322,CCCC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=C(C=CN=C3)Cl
P49238,-1.505,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC(=CC=C3)Br
P49238,-2.806,CC(C)C(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-0.591,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3
P49238,-1.114,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3Br
P49238,-0.763,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=NC=CC(=C3)Cl
P49238,-2.447,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)S(=O)CC3=CC=CC=C3
P49238,-1.447,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC(=CC=C3)S(=O)(=O)C
P49238,-0.602,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3Br
P49238,-1.146,CCCC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=CC=CC(=C3)C#N
P49238,-0.672,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3F
P49238,-1.255,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCCC3=CC=CC=C3
P49238,-4.462,CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3
P49238,-0.792,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=NC=CC(=C3)Cl
P49238,-3.079,CC(C)CC(C(C)(C)O)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-2.954,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=NC=C3
P49238,-2.079,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3C#N
P49238,-2.826,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CN=CC=C3
P49238,-1.672,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=C(C=C3)Br
P49238,-2,CCCC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-3.041,CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-0.892,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=O)N2)SC(C)C3=CC=CC=C3
P49238,-3.079,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=C(C=C3)C#N
P49238,-1.845,CC1=CC=CC=C1CSC2=NC3=C(C(=N2)NC(CC(C)C)CO)SC(=N3)N
P49238,-2.886,CCC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-1.362,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3F
P49238,-2.279,CC(C)(C)C(CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-2.342,CC(C)CC(C(=O)N)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-2.505,CC(C)CC(C(=O)O)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3
P49238,-2.041,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SCCCC3=CC=CC=C3
P49238,-1.959,CC(C)CC(CCO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3Cl
