GPCR,STANDARD_VALUE,smiles
P32247,-4,CN1CCN(CC1)C2=NC3=NNC(=C3C4=C2CN(CC4)CC5=CC=CC=C5)N
P32247,-4,CC(C)CN1CCC2=C(C1)C(=NC3=NNC(=C23)N)N4CCCCC4
P32247,-1.55,C1CCC(C1)CC2=CN=C(N2)CCC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5
P32247,-2.201,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCC3=NC=C(N3)CC4=CC(=CC=C4)F)C(=O)O
P32247,-1.663,CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NCCC3=CC=CC=C3)NCC4=CC=CC=C4
P32247,-4,CN1C2=NC(=C3CN(CCC3=C2C(=N1)N)CC4=CC=CC=C4)N5CCCCC5
P32247,-3.898,C1=CC=C(C=C1)CCNC(=O)C(CC2=CNC3=CC=CC=C32)NC(=O)NN=CC4=CC=C(C=C4)C5=CC=CS5
P32247,-1.616,CC(C)(C1=NC(=NO1)C2(CCC2)C3=C4C(=CC=C3)NC5=C(CN4S(=O)(=O)C6=CC=C(C=C6)OC(F)(F)F)C=CC(=N5)C(F)(F)F)O
P32247,-2.574,CC1(C2CCC1(C(C2)NC3=C(C=NC=C3)S(=O)(=O)NC(=O)NC(C)(C)C)C)C
P32247,-0.23,CC1=NC=C(C=C1)OC2=CC=CC(=C2)CC(=O)N3CCNC4=C(C3CC(=O)O)C=CC(=N4)C(F)(F)F
P32247,-3.194,C1CN(C(C2=C(N1)N=C(C=C2)C(F)(F)F)C(=O)O)C(=O)CC3=CC(=CC=C3)OC4=CC=CC=C4
P32247,-1.122,CC(C)(C1=C2C(=CC=C1)NC3=C(CN2S(=O)(=O)C4=CC=C(C=C4)OC(F)(F)F)C=CC(=N3)C(F)(F)F)C(=O)N
P32247,-4,CC(C)NC1=NC2=NNC(=C2C3=C1CN(CC3)CC4=CC=CC=C4)N
P32247,-4,C1CCCN(CCC1)C2=NC3=NNC(=C3C4=C2CN(CC4)CC5=CC=CC=C5)N
P32247,-1.422,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CC3=C(NC4=CC=CC(=C42)C5=NOC(=N5)C(C)(C)O)N=C(C=C3)C(F)(F)F
P32247,-2.962,CC(C)C1CN(C2=CC=CC=C2CN1C(=O)C)CC3=CC=CC=C3
P32247,-1.94,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCC3=NC=C(N3)CC4=C(C(=CC=C4)F)F)C(=O)O
P32247,-3.748,CCCCC1=CN=C(N1)CCCC2=CC=C(C=C2)C3=CC=CC=C3C(=O)O
P32247,-2.538,C1CC(C1)C2=NC(=NN2)NS(=O)(=O)C3=C(C=CN=C3)NC4CC5CCC4C5
