ID,STANDARD_VALUE,smiles
P47900,-2.531,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NN=C(S3)C4=CN=CC=C4
P47900,-1.412,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=C(C=CC=N4)NC(=O)NC5=NC6=C(S5)C=C(C=C6)F
P47900,-3.362,CC(C)C1=CC=CC=C1C2=CC3=C(O2)C(=CC=C3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F
P47900,-3.162,CC1(CN(C2=C(C=CC(=C21)Cl)O)C3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC(F)(F)F)CC(F)(F)F
P47900,-1.716,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)OCC(C)(C)CN(C)C)F
P47900,-3.78,C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)OP(=O)(O)O
P47900,-1.255,CSC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
P47900,-3.446,CCCCCCSC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=S)([O-])[O-])O)O
P47900,-1.519,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC(=NN6C)C(C)(C)C
P47900,-1.38,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC(=CC=C6)C(F)(F)F
P47900,-1.07,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C=CN=C3)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F
P47900,-3.079,CC1=NN(C(=C1)OC2=CC=CC=C2NC(=O)NC3=CC=C(C=C3)C4=CN=CO4)C5=CC=CC=C5Cl
P47900,-0.279,CC(C)C1=NSC(=N1)NC(=O)NC2=CC=CC=C2N3CC4(CCN(CC4)CC(C)(C)C)C5=C(C=CC(=C53)O)F
P47900,-2.525,CCC1C(C(C2=CC=CC=C2N1C(=O)NC3=CC(=CC(=C3)Cl)Cl)NC4=CC=CC=C4)C
P47900,-3,CCC1C(C(C2=CC=CC=C2N1C(=O)NC3=CC=CC=C3)NC4=CC=CC=C4)C
P47900,-0.903,CC1=CC=C(C=C1)C2=C(N=C(S2)NC3=C(N=CC=C3)OC4=CC=CC=C4C(C)(C)C)C(F)(F)F
P47900,-3.061,CCC1C(C(C2=CC=CC=C2N1C(=O)NC3=CC=C(C=C3)Cl)NC4=CC=CC=C4)C
P47900,-1.778,CC1=NN(C(=C1)OC2=CC=CC=C2NC(=O)NC3=CC=C(C=C3)OC(F)(F)F)C4=CC=CC=C4C(C)C
P47900,-2.813,CCC1C(C(C2=CC=CC=C2N1C(=O)NC3=CC(=CC=C3)Cl)NC4=CC=CC=C4)C
P47900,-1.327,C1CN(CCC12CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C(=O)OCC6=CC=CC=C6
P47900,-2.772,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=CC=C(C=C3)N4CCN(CC4)C
P47900,-0.568,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)F)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)Cl
P47900,-4.13,C1CN(CCC12CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)CC(=O)O
P47900,-1.041,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)OCC4CCN(CC4)CC5=CC=CC=C5)F
P47900,-0.903,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(=O)OC)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC=C(C=C6)C(C)(C)C
P47900,-1.031,C1CC2(C1)CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F
P47900,-3.688,C1C(CC(C1COP(=O)(O)O)OP(=O)(O)O)N2C=NC3=C2N=CN=C3N
P47900,-0.748,CC1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC=CC=C3N4CC5(CCN(CC5)CC(C)(C)C)C6=C(C=CC(=C64)O)Cl
P47900,-3.768,CNC1=NC=NC2=C1N=CN2C3CC(C(OC3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
P47900,-1.301,CC1=CC=C(C=C1)NC(=O)NC2=C(N=CC=C2)SC3=CC=CC=C3C(C)(C)C
P47900,-0.82,CC1=NN(C(=C1)C2=NN=C(S2)NC3=CC=CC=C3N4CC5(CCN(CC5)CC(C)(C)C)C6=C(C=CC(=C64)O)Cl)C
P47900,-2.753,CNC1=NC(=NC2=C1N=CN2C3CC(C(OC3)COP(=O)(O)O)OP(=O)(O)O)Cl
P47900,-1.697,C1C(C2CC2(C1OP(=O)(O)O)COP(=O)(O)O)N3C=NC4=C3N=C(N=C4N)I
P47900,-1.305,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=CC(=C3O)F)C4=CC=C(C=C4)Cl)C5=CC=CC=C5NC(=O)NC6=CC=C(C=C6)OC(F)(F)F
P47900,-2.708,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(C=C5)C6=CC=CC=C6
P47900,-3.775,CNC1=NC(=NC2=C1N=CN2C3CC(C(C3)OP(=O)(O)O)COP(=O)(O)O)N
P47900,-0.863,CCSC1=NSC(=N1)NC(=O)NC2=CC=CC=C2N3CC4(CCN(CC4)CC(C)(C)C)C5=C(C=CC(=C53)O)Cl
P47900,-1,C1CC(OC1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=NC3=C2N=CN=C3N
P47900,-1.441,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(O5)C6=CC=CC=C6
P47900,-1.125,CSC1=NC2=C(C(=N1)N)N=CN2C3C4CC4(C(C3O)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O
